case_id,activity,timestamp,resource,department,supplier,amount,amount_category,variant
PO-2024-00198,購買依頼_作成,2024-04-01 09:26:53,担当者_C1,情報システム部,北海道素材,42544100,特別,REQ-APR1-ESC-URG-RFQ-ARFQ-QR-NEG-QR2-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00460,購買依頼_作成,2024-04-01 12:18:19,担当者_D3,情報システム部,中部機械製作所,141100,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00072,購買依頼_作成,2024-04-01 15:55:43,担当者_D5,物流部,名古屋金属工業,382000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-DEF-RET-REDLV-INS2-INV-MATCH-PAPR-PAY
PO-2024-00139,購買依頼_作成,2024-04-01 16:25:30,担当者_C4,製造部,大阪精密製作所,426300,中口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00072,購買依頼_承認,2024-04-02 08:16:34,課長_A,物流部,名古屋金属工業,382000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-DEF-RET-REDLV-INS2-INV-MATCH-PAPR-PAY
PO-2024-00439,購買依頼_作成,2024-04-02 08:19:35,担当者_G3,製造部,大阪精密製作所,415000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00460,購買依頼_承認,2024-04-02 08:35:50,課長_G,情報システム部,中部機械製作所,141100,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00139,購買依頼_差戻し,2024-04-02 08:51:05,課長_F,製造部,大阪精密製作所,426300,中口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00198,購買依頼_承認,2024-04-02 08:53:05,課長_F,情報システム部,北海道素材,42544100,特別,REQ-APR1-ESC-URG-RFQ-ARFQ-QR-NEG-QR2-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00460,見積依頼_送付,2024-04-02 10:57:35,購買_E,情報システム部,中部機械製作所,141100,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00072,見積依頼_送付,2024-04-02 11:52:45,購買_B,物流部,名古屋金属工業,382000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-DEF-RET-REDLV-INS2-INV-MATCH-PAPR-PAY
PO-2024-00439,購買依頼_承認,2024-04-03 08:26:24,課長_E,製造部,大阪精密製作所,415000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00139,購買依頼_再申請,2024-04-03 08:40:42,担当者_C4,製造部,大阪精密製作所,426300,中口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00040,購買依頼_作成,2024-04-03 09:11:22,担当者_G4,品質管理部,名古屋金属工業,32000,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00093,購買依頼_作成,2024-04-03 10:14:28,担当者_E1,製造部,東京部品工業,48200,小口,REQ-REJ-RESUB-APR1-RFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00115,購買依頼_作成,2024-04-03 10:28:14,担当者_A5,製造部,東北精密,143600,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00439,見積依頼_送付,2024-04-03 11:02:56,購買_A,製造部,大阪精密製作所,415000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00040,購買依頼_承認,2024-04-03 12:53:43,課長_B,品質管理部,名古屋金属工業,32000,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00139,購買依頼_承認,2024-04-03 13:29:42,課長_C,製造部,大阪精密製作所,426300,中口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00139,見積依頼_送付,2024-04-03 16:16:33,購買_E,製造部,大阪精密製作所,426300,中口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
